Year,Month,Day,Price,Type
2016,12,16,2800,1
2017,1,18,3200,1
2017,2,16,3200,1
2017,2,8,3000,1
2017,1,23,3200,1
2017,3,23,3000,1
2017,3,14,3200,1
2017,2,24,3200,1
2017,6,16,2800,1
2017,4,21,3000,1
2017,4,4,3200,1
2017,3,28,3200,1
2017,6,29,2200,1
2017,6,23,2600,1
2017,6,20,2800,1
2017,7,31,1800,1
2017,7,25,1800,1
2017,7,7,1900,1
2017,8,30,2000,1
2017,8,21,200,1
2017,8,7,1700,1
2017,8,2,1800,1
2017,9,29,1800,1
2017,9,8,1600,1
2017,9,1,1600,1
2017,10,17,1600,1
2017,10,11,1800,1
2017,10,6,1700,1
2017,11,13,1800,1
2017,11,6,1700,1
2017,10,31,1800,1
2017,10,23,1900,1
2017,11,24,1800,1
2017,11,21,1600,1
2017,11,16,1800,1
2017,12,12,1800,1
2017,12,7,1800,1
2017,11,4,1600,1
2018,1,5,2000,1
2018,1,2,2000,1
2018,12,27,1800,1
2018,12,20,1800,1
2018,1,18,1800,1
2018,1,15,2200,1
2018,1,10,2000,1
2018,2,20,2000,1
2018,2,15,1800,1
2018,2,6,1800,1
2018,3,7,2200,1
2018,3,1,2200,1
2018,2,26,1500,1
2018,3,21,2500,1
2018,3,16,2200,1
2018,3,13,2200,1
2018,4,16,2200,1
2018,4,6,2200,1
2018,3,28,2200,1
2018,3,22,2250,1
2018,4,26,2750,1
2018,4,23,2250,1
2018,4,18,2200,1
2018,5,23,2500,1
2018,5,14,3000,1
2018,5,9,2750,1
2018,6,16,2000,1
